Gene_A,Gene_B,Random Forest probabilities,Random Forest decision_scores,Prob_Bin
SGCB,SGCD,0.04,,0
LAMC1,LAMA1,0.05,,0
LAMC1,LAMB1,0.36,,1
SSPN,SGCA,0.01,,0
ARPC2,ACTR3B,0.06,,0
ACTR2,ARPC3,0.81,,4
GABRA5,GABRG3,0.0,,0
GABRB3,GABRG2,0.5,,2
ARPC1A,ACTR2,0.11,,0
ARPC5,ARPC4,0.99,,4
ARPC5,ARPC4,0.99,,4
BABAM1,ABRAXAS1,0.16,,0
SNTA1,SNTB1,0.1,,0
BABAM1,UIMC1,0.3,,1
ARPC3,ACTR3B,0.09,,0
ARPC1A,ARPC3,0.2,,0
TRAF5,BIRC2,0.11,,0
ARPC3,ARPC4,0.93,,4
ARPC1A,ARPC3,0.2,,0
GABRD,GABRA1,0.02,,0
RIPK1,BIRC2,0.14,,0
GABRB3,GABRG2,0.5,,2
SGCD,SNTB1,0.03,,0
ACTR2,ARPC4,0.8,,3
CATSPERE,EFCAB9,0.05,,0
ARPC2,ACTR2,0.97,,4
WRAP53,DKC1,0.3,,1
SGCA,SGCD,0.0,,0
TMEM249,CATSPER3,0.35,,1
ARPC1A,ARPC3,0.2,,0
SGCA,SGCD,0.0,,0
GABRA4,GABRG2,0.32,,1
ARPC5,ARPC4,0.99,,4
LAMC1,LAMB1,0.36,,1
ARPC1A,ACTR3B,0.06,,0
MDM4,TP53,0.59,,2
SNTA1,SNTB1,0.1,,0
TRAF5,TRADD,0.05,,0
NID1,LAMB1,0.22,,1
GABRD,GABRA1,0.02,,0
CD3D,CD3E,0.95,,4
ARPC5,ARPC2,0.96,,4
ARPC2,ACTR2,0.97,,4
GABRB3,GABRG2,0.5,,2
SGCA,SGCB,0.02,,0
ARPC2,ARPC4,0.61,,3
PARD3,PRKCI,0.07,,0
SNAPC5,SNAPC2,0.49,,2
ARPC2,ARPC4,0.61,,3
GABRA4,GABRG2,0.32,,1
ARPC5,ARPC3,0.99,,4
GABRB3,GABRG2,0.5,,2
GABRB3,GABRG2,0.5,,2
GABRA4,GABRG2,0.32,,1
MRE11,NBN,0.45,,2
ARPC2,ARPC3,0.98,,4
GABRD,GABRA1,0.02,,0
SSPN,SNTA1,0.22,,1
ARPC5,ARPC2,0.96,,4
SGCG,SGCD,0.2,,0
LAMC1,LAMB1,0.36,,1
CASP8,FADD,0.08,,0
AP1B1,AP1G1,0.54,,2
GABRB3,GABRG2,0.5,,2
SNAPC1,SNAPC5,0.31,,1
GABRB3,GABRG2,0.5,,2
TRAF5,TRADD,0.05,,0
CD3E,CD247,0.45,,2
ARPC3,ARPC4,0.93,,4
ACTR2,ARPC4,0.8,,3
