,scGPT_bc_embeddings_Cosine_Similarity,scGPT_pancancer_embeddings_Cosine_Similarity,scGPT_CP_embeddings_similarities,scGPT_lung_embeddings_Cosine_Similarity,scGPT_heart_embeddings_Cosine_Similarity,scGPT_brain_embeddings_Cosine_Similarity,scGPT_kidney_embeddings_Cosine_Similarity,scGPT_human_embeddings_Cosine_Similarity,GF-6L30M_HUMANemb_Cosine_Similarity,GF-20L95M_HUMANemb_Cosine_Similarity,GF-12L95M_HUMANemb_Cosine_Similarity,GF-12L95MCANCER_UNIPROT_HUMANemb_Cosine_Similarity,GF-12L30M_HUMANemb_Cosine_Similarity,Correlation,GeneAB,Random Forest predictions,Random Forest probabilities,Prob_Bin,Gene_A,Gene_B,Same_Complex
327,0.018519459292292595,0.16049335896968842,0.036164987832307816,0.008527393452823162,0.015626199543476105,0.009171444922685623,-0.029752930626273155,0.03686907887458801,0.35274261236190796,0.12036358565092087,0.7928684949874878,0.8031380772590637,0.7121092677116394,0.3769909312573955,C1orf87_CFAP298,0,0.0,0,C1orf87,CFAP298,0
351,-0.020388200879096985,0.16161304712295532,0.05278104543685913,0.06922653317451477,0.0719686821103096,0.1125074103474617,0.06043298915028572,0.05294717848300934,0.3302815556526184,0.16846084594726562,0.7976087331771851,0.8716146945953369,0.779148519039154,0.058685554043005426,NME9_CFAP298,0,0.0,0,NME9,CFAP298,0
900,0.10936764627695084,0.20732079446315765,0.060637466609478,0.11568164825439453,0.04089583829045296,0.010421468876302242,0.01744692027568817,0.05439746752381325,0.4127020835876465,0.22884616255760193,0.7924073934555054,0.8481549024581909,0.8124113082885742,0.41313717599895694,C7orf57_CDHR3,0,0.0,0,C7orf57,CDHR3,0
1016,-0.00048066675662994385,0.27001333236694336,0.058788880705833435,0.09292757511138916,0.10405120253562927,-0.03523121029138565,0.05633414536714554,0.05931650847196579,0.4953259825706482,0.23891612887382507,0.8358631134033203,0.8515486717224121,0.7397376298904419,0.5045405374627778,GAS2L2_SPEF2,0,0.0,0,GAS2L2,SPEF2,0
1490,0.10852354764938354,0.12908801436424255,0.03238653391599655,0.07664284110069275,0.005990182049572468,-0.008882179856300354,-0.03192897513508797,0.03274127095937729,0.3768031895160675,0.21439921855926514,0.6785604357719421,0.8287111520767212,0.7492058277130127,0.3981966194799353,TTC23L_RFX3,0,0.0,0,TTC23L,RFX3,0
1652,-0.002708904445171356,0.29666364192962646,0.12398413568735123,0.03212721645832062,0.022441748529672623,0.058092210441827774,-0.006793893873691559,0.12487165629863739,0.6533858180046082,0.28930842876434326,0.8273754119873047,0.859851598739624,0.7225829362869263,0.35865437453947224,GAS2L2_SPAG17,0,0.0,0,GAS2L2,SPAG17,0
1901,0.08805158734321594,0.3013177812099457,-0.005400339141488075,0.04602009057998657,-0.0007139174267649651,0.030131500214338303,-0.04511774703860283,-0.006626266986131668,0.4654385447502136,0.17862841486930847,0.7826541662216187,0.8417099714279175,0.6778355240821838,-0.04360122046201805,CDHR3_TEKT4,0,0.0,0,CDHR3,TEKT4,0
1954,0.024450302124023438,0.06323489546775818,0.061013203114271164,-0.0344281829893589,0.013859597034752369,0.14356699585914612,-0.019772781059145927,0.058021463453769684,0.3456927239894867,0.24376682937145233,0.7628371715545654,0.8258042335510254,0.7627578377723694,0.12644249466049007,ENO4_TPPP3,0,0.0,0,ENO4,TPPP3,0
1974,0.06211978197097778,0.19015711545944214,0.18076342344284058,0.07198428362607956,0.02594025805592537,0.24760717153549194,-0.005091652274131775,0.17854122817516327,0.4357517659664154,0.28227975964546204,0.7912343740463257,0.8356450796127319,0.7727226614952087,0.041836997801428584,NEK5_TPPP3,0,0.0,0,NEK5,TPPP3,0
2316,-0.002739798277616501,0.3342266082763672,0.06035326048731804,0.0544617660343647,0.07180096209049225,-0.02588023617863655,0.023753739893436432,0.06288780272006989,0.6311120390892029,0.2744588255882263,0.824165403842926,0.875413179397583,0.7627205848693848,0.3010337779933943,GAS2L2_DNAH7,0,0.0,0,GAS2L2,DNAH7,0
