gene_name,complex_id
SMAD3,CPX-1
SMAD4,CPX-1
SMAD2,CPX-1
CREB1,CPX-8
ATF4,CPX-8
ATF1,CPX-9
ATF4,CPX-9
SMAD2,CPX-11
SMAD3,CPX-12
TERT,CPX-17
TERT,CPX-20
NPR1,CPX-35
S100A8,CPX-37
S100A9,CPX-37
S100A8,CPX-39
S100A9,CPX-39
S100A8,CPX-42
S100A9,CPX-48
PLN,CPX-51
S100A8,CPX-52
S100A9,CPX-52
NOS2,CPX-52
SMAD4,CPX-54
SMAD1,CPX-54
GLI1,CPX-56
SUFU,CPX-56
NKX2-5,CPX-61
DDIT3,CPX-69
CEBPA,CPX-69
CEBPB,CPX-70
DDIT3,CPX-70
CEBPA,CPX-71
BECN1,CPX-73
ATG14,CPX-73
PIK3C3,CPX-73
PIK3R4,CPX-73
BECN1,CPX-74
PIK3C3,CPX-74
PIK3R4,CPX-74
UVRAG,CPX-74
MSH3,CPX-77
MSH2,CPX-77
GTF2F2,CPX-79
GTF2F1,CPX-79
MSH2,CPX-80
MSH6,CPX-80
MAD1L1,CPX-82
MAD2L1,CPX-85
MAD1L1,CPX-85
MAD2L1,CPX-88
MYC,CPX-91
MAX,CPX-91
LGALS1,CPX-92
LGALS2,CPX-95
CSTA,CPX-98
CTSB,CPX-98
AXIN1,CPX-99
APC2,CPX-99
CSNK1A1,CPX-99
GSK3B,CPX-99
TCAP,CPX-101
TTN,CPX-101
DAPK1,CPX-102
MAX,CPX-104
MXD1,CPX-104
AXIN1,CPX-107
APC,CPX-107
CSNK1A1,CPX-107
GSK3A,CPX-107
AXIN1,CPX-109
APC,CPX-109
CSNK1A1,CPX-109
GSK3B,CPX-109
BIRC5,CPX-111
GP1BA,CPX-114
GP1BB,CPX-114
GP9,CPX-114
GP5,CPX-114
BIRC5,CPX-116
CDCA8,CPX-116
AURKB,CPX-116
INCENP,CPX-116
GP1BA,CPX-117
GP1BB,CPX-117
GP9,CPX-117
FLNA,CPX-117
GP5,CPX-117
FLNA,CPX-122
ATP1A1,CPX-125
ATP1B1,CPX-125
FXYD2,CPX-125
LDLR,CPX-128
ANXA2,CPX-130
PCSK9,CPX-130
HCN4,CPX-131
UBL4A,CPX-132
BAG6,CPX-132
GET4,CPX-132
VCP,CPX-137
NPLOC4,CPX-137
UFD1,CPX-137
HCN2,CPX-143
SMAD1,CPX-144
GLI2,CPX-148
SUFU,CPX-148
GLI3,CPX-150
SUFU,CPX-150
TERF1,CPX-152
TERF2,CPX-152
ACD,CPX-152
TINF2,CPX-152
POT1,CPX-152
TERF2IP,CPX-152
RB1,CPX-155
E2F1,CPX-155
TFDP1,CPX-155
PPP4C,CPX-156
