gene_pair	Spearman	Pos/Neg	gene1_symbol	gene2_symbol	gene1_name	gene2_name
('ENSG00000198712', 'ENSG00000198938')	0.9305114961321003	1	MT-CO2	MT-CO3	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198712', 'ENSG00000198804')	0.9263622655045523	1	MT-CO2	MT-CO1	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded cytochrome c oxidase I
('ENSG00000198804', 'ENSG00000198938')	0.9190419255233276	1	MT-CO1	MT-CO3	mitochondrially encoded cytochrome c oxidase I	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198899', 'ENSG00000198938')	0.9150874736052882	0	MT-ATP6	MT-CO3	mitochondrially encoded ATP synthase membrane subunit 6	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198727', 'ENSG00000198899')	0.9144907187630639	1	MT-CYB	MT-ATP6	mitochondrially encoded cytochrome b	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000198727', 'ENSG00000198938')	0.9132235674094442	0	MT-CYB	MT-CO3	mitochondrially encoded cytochrome b	mitochondrially encoded cytochrome c oxidase III
('ENSG00000198712', 'ENSG00000198727')	0.9084448480281763	0	MT-CO2	MT-CYB	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded cytochrome b
('ENSG00000198712', 'ENSG00000198899')	0.8921790982102399	0	MT-CO2	MT-ATP6	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000198886', 'ENSG00000198899')	0.8917359092101408	0	MT-ND4	MT-ATP6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	mitochondrially encoded ATP synthase membrane subunit 6
('ENSG00000204525', 'ENSG00000234745')	0.8887023214827399	1	HLA-C	HLA-B	major histocompatibility complex, class I, C	major histocompatibility complex, class I, B
('ENSG00000223865', 'ENSG00000231389')	0.8870085582152097	1	HLA-DPB1	HLA-DPA1	major histocompatibility complex, class II, DP beta 1	major histocompatibility complex, class II, DP alpha 1
('ENSG00000198727', 'ENSG00000198840')	0.8852631931584128	0	MT-CYB	MT-ND3	mitochondrially encoded cytochrome b	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
('ENSG00000198840', 'ENSG00000198938')	0.8836206136372677	0	MT-ND3	MT-CO3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	mitochondrially encoded cytochrome c oxidase III
