,scGPT_bc_embeddings_similarities,scGPT_pancancer_embeddings_similarities,scGPT_CP_embeddings_similarities,scGPT_lung_embeddings_similarities,scGPT_heart_embeddings_similarities,scGPT_brain_embeddings_similarities,scGPT_kidney_embeddings_similarities,scGPT_human_embeddings_similarities,GF-6L30M_HUMANemb_similarities,GF-20L95M_HUMANemb_similarities,GF-12L95M_HUMANemb_similarities,GF-12L95MCANCER_UNIPROT_HUMANemb_similarities,GF-12L30M_HUMANemb_similarities,Correlation,Same_Complex,GeneAB,Random Forest_n10000 predictions,Random Forest_n10000 probabilities,Gene_A,Gene_B,Phylogenetic_Jaccard_Similarity,prob_z,jaccard_z,composite_score
5564,0.29956167936325073,0.41232746839523315,0.4710618853569031,0.3375966548919678,0.28267014026641846,0.4875524938106537,0.23959189653396606,0.4706850051879883,0.18512478470802307,0.17407885193824768,0.5678440928459167,0.5659165382385254,0.5375888347625732,0.049953197402999555,0,HSPA8_RAN,1,0.9994,HSPA8,RAN,0.9615384615384616,3.185017694140672,2.6508185877024646,5.835836281843136
6449,0.17946964502334595,0.27347785234451294,0.2965775728225708,0.12393711507320404,0.16043008863925934,0.22979946434497833,0.09469126909971237,0.29666048288345337,0.10082870721817017,0.05686338245868683,0.660849928855896,0.7550252079963684,0.7452582120895386,0.10329459233512395,0,RAB11A_RAB1A,1,0.9536,RAB11A,RAB1A,0.9320388349514565,2.7795823779157174,2.483209048379885,5.262791426295602
10134,0.14115291833877563,0.20941399037837982,0.2797318696975708,0.20075711607933044,0.1249406635761261,0.20881569385528564,0.1290794461965561,0.2801945209503174,0.08189425617456436,0.05455099046230316,0.7471750974655151,0.8039501905441284,0.742992639541626,0.1442133762671313,0,ATP6V1D_RAB1A,1,0.939,ATP6V1D,RAB1A,0.923809523809524,2.6503388054946613,2.436452149767173,5.086790955261835
24435,0.15427392721176147,0.2984224557876587,0.30689626932144165,0.3059139847755432,0.19061747193336487,0.15734083950519562,0.2065657526254654,0.30708539485931396,0.12267710268497467,0.08461249619722366,0.5912889242172241,0.6571192741394043,0.6333430409431458,0.426697676230106,0,RAN_TUBA1C,1,0.9269,RAN,TUBA1C,0.9423076923076924,2.5432259817758416,2.541554141182049,5.08478012295789
7711,0.28729087114334106,0.5409074425697327,0.35845786333084106,0.29583534598350525,0.2087019681930542,0.18416830897331238,0.15923114120960236,0.35824429988861084,0.2536090016365051,0.15916481614112854,0.6690424084663391,0.7514005899429321,0.7659350633621216,0.47135222575638536,0,ACTR2_ACTR3,1,0.9348,ACTR2,ACTR3,0.9186046511627908,2.613159147674906,2.406879358261536,5.0200385059364425
5604,0.19509325921535492,0.28436926007270813,0.3245786726474762,0.26140809059143066,0.18412676453590393,0.4227140247821808,0.1430077850818634,0.32399147748947144,0.08341510593891144,0.031324602663517,0.4004349112510681,0.47872859239578247,0.457270085811615,0.13279091823938394,0,HSPA8_TUBA1A,1,0.9223,HSPA8,TUBA1A,0.8952380952380953,2.502505404163729,2.2741164006511254,4.776621804814854
14802,0.15107578039169312,0.2934136986732483,0.24759860336780548,0.08893763273954391,0.07774338126182556,0.049803756177425385,0.04317494481801987,0.24739991128444672,0.11854332685470581,0.07948796451091766,0.7342221736907959,0.7790220975875854,0.7407439947128296,0.1321623485345115,0,MAPRE1_ACTR3,1,0.986,MAPRE1,ACTR3,0.7352941176470589,3.0663968810966895,1.3653545109916876,4.431751392088377
28164,0.19851469993591309,0.3712051510810852,0.310680627822876,0.1278703659772873,0.031936291605234146,0.29994624853134155,0.017313379794359207,0.31194350123405457,0.28723403811454773,0.1824466586112976,0.8426204919815063,0.8754892349243164,0.8227994441986084,0.42064381282005414,0,TBCC_CFAP20,1,0.9729,TBCC,CFAP20,0.7471264367816092,2.9504317578969754,1.432582804658745,4.38301456255572
14215,0.20756134390830994,0.32925471663475037,0.280842661857605,0.13802769780158997,0.05547090619802475,0.19437184929847717,0.04163569211959839,0.28077390789985657,0.2555283308029175,0.13705304265022278,0.708906352519989,0.7747466564178467,0.777187705039978,0.500886441346163,0,ACTR3_RAB10,1,0.9755,ACTR3,RAB10,0.7386363636363636,2.9734477365473007,1.3843443212158237,4.357792057763124
6302,0.3037745952606201,0.2879897356033325,0.2943829596042633,0.050474729388952255,0.04721546173095703,0.2808670103549957,0.012216443195939064,0.2947985827922821,0.2307952344417572,0.1555800586938858,0.7557034492492676,0.8025144934654236,0.7242770195007324,0.5983268717225732,0,PLK1_TUBA1C,1,0.9639,PLK1,TUBA1C,0.7523809523809524,2.8707610625689277,1.4624376550708915,4.333198717639819
