,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
0,A1BG,CXCL6,1.0,PRSS37,1.0,PRR3,1.0,IL5,1.0,OR8B4,1.0
1,A1CF,RBM47,0.78125,BSDC1,0.7297297297297297,LRPPRC,0.7297297297297297,RBM46,0.7272727272727273,PDAP1,0.7
2,A2M,PZP,0.896551724137931,A2ML1,0.7931034482758621,TRIM33,0.78125,CROCC,0.7741935483870968,EPB41L5,0.7428571428571429
3,A2ML1,PZP,0.8888888888888888,A2M,0.7931034482758621,PTPN2,0.7096774193548387,NAB1,0.6875,MRPS18C,0.6764705882352942
4,A4GALT,A4GNT,0.88,TBXAS1,0.6363636363636364,MGAT3,0.6206896551724138,RNF144A,0.6176470588235294,ATMIN,0.6129032258064516
5,A4GNT,A4GALT,0.88,TBXAS1,0.6666666666666666,SS18L1,0.6333333333333333,NMBR,0.6071428571428571,RNF144A,0.6
6,AAAS,TNFAIP8L2,0.8484848484848485,ELMO2,0.8387096774193549,NEURL4,0.8275862068965517,ETS1,0.8064516129032258,SCN3A,0.8064516129032258
7,AACS,ACMSD,0.6363636363636364,TMLHE,0.6078431372549019,MPPED1,0.5833333333333334,MPPED2,0.58,HAAO,0.574468085106383
8,AADAC,AADACL2,0.675,NCEH1,0.6216216216216216,AADACL3,0.6216216216216216,AADACL4,0.5882352941176471,MROH1,0.574468085106383
9,AADACL2,NCEH1,0.6857142857142857,AADAC,0.675,ENPP2,0.6,UVSSA,0.5869565217391305,TELO2,0.5777777777777777
10,AADACL3,AADACL4,0.7692307692307693,AADAC,0.6216216216216216,NCEH1,0.5757575757575758,OLIG3,0.5714285714285714,GLOD5,0.5666666666666667
11,AADACL4,AADACL3,0.7692307692307693,TBX18,0.625,AADAC,0.5882352941176471,NCEH1,0.5862068965517241,OLIG3,0.5833333333333334
12,AADAT,SUGCT,0.7741935483870968,ACO2,0.7714285714285715,IPO11,0.7647058823529411,ALAD,0.7432432432432432,DHRS11,0.7301587301587301
13,AAGAB,LMTK2,0.782608695652174,NFE2L1,0.7307692307692307,CRTC1,0.72,UBL7,0.72,MED26,0.72
14,AAK1,EXOC2,0.6451612903225806,SMARCD3,0.639344262295082,NMNAT1,0.6351351351351351,SCYL2,0.6351351351351351,ARHGDIA,0.6338028169014085
15,AAMDC,KNOP1,0.8,UHMK1,0.7272727272727273,MBOAT4,0.7,ART4,0.7,DEXI,0.7
16,AAMP,AP2M1,0.8571428571428571,DCAF7,0.8539325842696629,ATP2B1,0.8444444444444444,ATP2B2,0.8426966292134831,ATP2B2,0.8426966292134831
17,AANAT,PROC,1.0,CDH4,1.0,BHLHE40,1.0,FAM110C,1.0,ARMCX1,1.0
18,AAR2,COPS3,0.8,RBM17,0.7945205479452054,LIPA,0.7837837837837838,GALK2,0.7792207792207793,SLC35D1,0.7777777777777778
19,AARD,LCN8,1.0,SNURF,1.0,PRAP1,1.0,OR8I2,1.0,OR5AU1,1.0
