,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
0,A1BG,ASGR1,8.442700982881291,FLYWCH2,8.124483797212793,C1orf122,7.953150450310968,SP140L,7.5870066249989,CHCHD5,7.167749462147268
1,A1CF,PLG,6.948689763727026,HNRNPAB,6.828677421391405,BHMT,6.734192101430776,CPS1,6.490466279508978,SLC25A13,6.077904076005628
2,A2M,DAB2,8.715490119124361,EPAS1,8.525566236344229,HSPG2,7.788032469230792,TGFBR2,7.733248686830909,CD93,7.421174045700537
3,A2ML1,RETSAT,5.528885100190346,ACOX1,5.500670103828769,SLC28A2,4.9439037052196735,KIF26A,4.79546763315268,SLC25A15,4.743488163571843
4,A4GALT,OAF,7.004547547982951,FBXW5,5.015811663284015,CADM4,4.685150818227031,CHMP4B,4.303664618914216,MIDN,4.295354939561842
5,A4GNT,RASL10B,4.089230769269562,BCDIN3D,3.9647947135338364,DONSON,3.789786273491291,GRXCR1,3.4370221246589536,SNRNP35,3.004243572347531
6,AAAS,NUP133,9.550229222600601,ILF2,9.49933376203736,PREB,9.475966156474671,NUP88,9.454282548335577,NUP188,9.365294276715261
7,AACS,ZFR2,5.854542172219186,C2CD3,5.718724450739404,RPTOR,5.637760520990185,MRS2,5.553263680688778,SCAP,5.510283227033896
8,AADAC,NIT2,5.904842050651422,MTTP,5.6305587407458315,HSD17B6,5.399080523804639,ACE2,4.785302982178475,MRPL24,4.754477083688698
9,AADACL2,ARSI,5.172568020596689,MAB21L1,4.4043684176766975,MORC4,4.099932067038562,HMGCS1,3.3715012555170665,NHLH1,3.2665340873326687
10,AADACL3,KIF1C,5.556837464556241,TPGS1,3.2388278679193747,REXO4,2.6674040541611763,AADACL4,2.3669675292709345,LNX2,2.274164096381992
11,AADACL4,FBXO48,6.393463588844981,OR7A17,4.498868924490072,FSCN3,4.330962244526284,CC2D1B,4.269514552938756,TSSK6,4.207119604903501
12,AADAT,PAN2,7.790121979802935,PNPO,7.141518829380972,COQ6,7.130048941599798,COQ5,6.987794286133556,IPO4,6.723675687281688
13,AAGAB,GTF2E2,7.968253571840259,NUP153,7.884926652290467,ELMO2,7.612275504302627,NUP88,7.518996625776665,TIMM23,7.489115306304636
14,AAK1,TCF25,8.817004567216154,RBM26,8.507360985969516,AP2B1,8.279902586487209,DYNC1I2,8.201865512706538,MACF1,8.175090362022376
15,AAMDC,GINM1,7.989170688825335,CCDC34,7.871304270963705,SMIM19,7.701452837746451,TMEM256,7.641922180842794,PSMG4,7.535753462479871
16,AAMP,FH,10.475966541156321,APEH,10.19381295518112,PSMC3,10.190567783036716,PSMC5,10.098674196710181,COPS5,10.057572401465123
17,AANAT,ATRIP,7.811453309440291,E4F1,7.118348835364319,LRTM1,6.702008802392884,VSTM4,6.569021350776589,CAPN10,6.542729875632279
18,AAR2,ABT1,9.193566401232502,ATG9A,9.1931846741365,MLST8,8.938751621389386,DOHH,8.863587104509206,RNF113A,8.853973554546934
19,AARD,ANKRD65,5.820050281383249,SPRN,5.545916926340331,KLK5,5.544203592871312,ZNF358,5.218733461231391,EID2,5.091883557050495
20,AARS2,ELAC2,6.513283899592058,NIP7,6.264290219057128,WDR3,6.220360046835052,PI4KB,6.1918903416491515,IGHMBP2,5.872254469769628
21,AASDH,METTL4,8.211159167559615,TRMT13,7.976016612754282,PEX1,7.763982764238735,TGS1,7.611849066652039,FRA10AC1,7.561264333847163
22,AASDHPPT,SERINC1,8.899491169571213,ZMAT2,8.82941614555488,MRPL13,8.804772869349707,UBE2V2,8.784838368822502,ATIC,8.727451484439861
23,AASS,PCYT2,7.680917367258694,PHKA1,6.36093979902299,KLF15,6.0761907425366095,AOX1,6.024903720854339,ALAS1,5.964699044715371
24,AATF,UTP6,9.854319188501556,NOC4L,9.740407349881504,ATIC,9.280238275783253,DNTTIP2,9.23238433875902,NOP14,9.154486073756457
25,AATK,PHLDB1,6.500960838969993,ARHGEF2,5.370258838323991,CNTNAP1,5.107586864154932,NIPA1,5.04765146009205,AGAP3,4.965947080562061
26,ABAT,SCD5,7.224173042860828,WDR59,6.832315402333049,ARHGAP35,6.615027777250059,DOCK3,6.387248235882314,PIGL,6.209078300373466
27,ABCA1,CTSL,8.07768727312551,CREG1,7.380995138166665,MGAT1,7.2553660096147965,LGMN,7.200689134898431,PYGL,7.084890716185694
28,ABCA10,ABCA9,9.861572515012849,ABCA6,9.5165641628709,ABCA8,8.01054404360386,ELAVL2,6.1099489966577085,TTC21B,5.982747948536701
29,ABCA12,BRWD3,3.6033719518562846,PLS1,3.556055770115166,PI4K2B,3.4014615937274635,MFN1,3.3895043417247743,REXO4,3.3674270580033636
30,ABCA13,RP1,4.996030060114908,MUC4,4.297638328389435,IGF2R,4.213970198570861,PLEKHS1,4.065263316951629,DNAH5,3.9311903195317206
31,ABCA2,SIRT2,6.753867311601671,CERCAM,6.412703734344962,MAN2C1,6.061700183511899,RALGDS,6.054775794861763,IPO4,5.850265580996639
32,ABCA3,LPCAT1,8.05989743879154,TUBG2,7.206497825015419,NAPSA,7.176114816529428,CLEC16A,7.129601022447293,AK1,6.679449423477067
33,ABCA4,PAPOLB,3.550393710733951,ANO2,3.31497587478209,ACBD7,3.081508838592886,TUB,3.0221896501243686,PPEF2,2.9599125934020902
34,ABCA5,PLEKHA5,7.722337001191656,PTPN4,7.704737580355928,BCAS3,7.5340421375050015,GPHN,7.082510639986132,IGF1R,6.940660238401086
35,ABCA6,ABCA9,9.54739344075179,ABCA10,9.5165641628709,ABCA8,8.975911351407241,ITSN1,6.382680037830591,ABCB11,5.485044494448253
36,ABCA7,HDAC5,5.560261764690455,TCF3,5.147892295444413,GYS1,5.121892496574072,DEF8,5.072177329691916,INPP5E,5.052845807518129
37,ABCA8,ABCA6,8.975911351407241,ABCA9,8.921353962485492,ABCA10,8.01054404360386,C7,6.72120069916601,FBXL7,5.616336383171009
38,ABCA9,ABCA10,9.861572515012849,ABCA6,9.54739344075179,ABCA8,8.921353962485492,ABCB11,5.66177223829328,LAMA2,4.648173293949178
39,ABCB1,PNO1,6.25211603781055,DOLK,6.1715733678771665,CRNKL1,5.864092269269962,NIP7,5.797578586470771,MFAP1,5.37215489742759
40,ABCB10,FECH,9.64372782600173,ABCB7,9.307123715840273,CPOX,8.662350949193275,ALAD,8.287814447503628,FXN,7.852331743105453
41,ABCB11,PLS1,7.70082759079639,ABLIM3,7.009301809615505,NSUN2,6.889265225749753,AFMID,6.8655281462181765,MCC,6.457142959639515
42,ABCB4,PUS10,6.190329514783051,PFKFB1,5.88384320054354,SRD5A1,5.879791994838399,MAT1A,5.799417447709521,WDR83,5.76365113159961
43,ABCB5,ABCC11,4.722480660791439,MYH11,3.156674875335831,PABPC4,2.903917811532428,OCA2,2.763448718084085,PRTG,2.3942454607401933
44,ABCB6,FLAD1,6.223477456772203,DDX47,6.111692590270588,NPEPL1,5.551718094842787,VARS2,5.472609809376847,PICK1,5.442253784949133
45,ABCB7,CLK3,9.681147864311558,FECH,9.533156214207105,ABCB10,9.307123715840273,RIOK2,9.097956175081654,PPIL3,8.843307675862498
46,ABCB8,CCDC51,8.107843882994985,NCLN,7.736691883753549,LMF2,7.607015682127313,METTL2A,7.584625630321787,SART3,7.577176461188489
47,ABCB9,IDE,6.760893849113525,SEC14L5,6.661701083363126,C2CD3,6.57675954649961,SEC24A,5.776408481782838,SLC25A42,5.693082729779419
48,ABCC1,NUP98,7.9802909883020146,PDCD11,6.740451905194135,IDE,6.606818212081338,USP36,6.5658020225179134,NAT10,6.429271605341108
49,ABCC10,NUP188,6.829366102016163,ARFRP1,6.703777559726802,NUP85,6.686566865973519,CRELD1,6.657428947655985,NUP205,6.458478995927523
50,ABCC11,SLC5A10,5.3842052420446125,ABCB5,4.722480660791439,FBXO48,3.761363582331879,SIAH1,3.623610735116926,POTEE,3.364180292586053
51,ABCC12,WDR83,5.853391271625824,LNX2,4.422973836594004,FBXO48,4.3095189353571985,PNPLA5,4.048646636239078,POLR2J2,3.988432911362614
52,ABCC2,PFKFB1,7.149891143524832,ACOX1,5.749030706491151,ABCB4,5.7477292347029305,SLC25A18,5.444715241425696,ALDH4A1,5.185049900516097
53,ABCC3,RBM47,7.051523065053884,IMPA2,7.049789984728022,ACSF2,6.789679153428887,VMP1,6.750217159592843,SLC26A2,6.731842897847531
54,ABCC4,LPCAT2,7.448678086630043,ITPR2,5.674933623478911,SORL1,5.626812178773986,ST6GAL1,5.589468469696834,SOCS6,5.2248277693209655
55,ABCC5,CLEC16A,6.448354873996654,CLTC,6.272417014693009,DYNC1H1,5.851976080385749,ARFGEF1,5.751752872549542,PI4KA,5.741638992726096
56,ABCC6,ADH6,5.177022995408059,MOGAT3,4.911157937086091,EHHADH,4.788811975257479,SERPINF2,4.786247071871198,SORBS3,4.737417068004179
57,ABCC8,KCNJ11,7.815373275839622,ANKRD27,4.519266932136265,FBXO16,4.49306119795174,PITPNM2,4.480206383625792,DDHD2,4.46724664024395
58,ABCC9,PHLDB2,4.8613211563541086,LNX2,4.338730926548981,KCNJ8,3.9375434113764647,F8,3.5507289442114116,GJC1,3.545952520985171
59,ABCD1,SCYL1,8.294087724657683,TAF13,7.841657167554523,NMNAT1,7.619123508744722,NAA60,7.571665740870663,PUS1,7.469949004605853
60,ABCD2,EED,6.293607841999875,LTN1,6.196774168871519,ATAD1,6.18673206740104,DIMT1,5.928719500586266,ERCC5,5.725719191267693
61,ABCD3,SLC35D1,7.790040233192097,PTP4A1,7.37970884107734,ACOX1,7.32315327077009,POR,6.547311276700572,PSMD14,6.351577483944521
62,ABCD4,GPR108,7.505176975636242,ATG9A,7.488953225396144,TMUB2,7.311052350628968,HMGCL,7.248450328499777,DMAP1,7.218144029621874
63,ABCE1,RSL24D1,10.80508291727544,CCT3,10.608568286518622,EIF1AX,10.5200229543668,EIF2S1,10.446960177425574,CCT4,10.445548747685732
64,ABCF1,GTPBP4,9.628012855828185,EIF5B,9.479928471153078,PA2G4,9.360612487667488,DDX46,9.353615100195839,EIF1AX,9.309708702080927
