,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
0,A1BG,CXCL6,3.802736018054397,PRSS37,3.802736018054397,PRR3,3.802736018054397,IL5,3.802736018054397,OR8B4,3.802736018054397
1,A1CF,RBM47,2.6375796873385284,BSDC1,2.3631606287529374,LRPPRC,2.3631606287529374,RBM46,2.350073579759288,PDAP1,2.204807335929777
2,A2M,PZP,3.251726127666597,A2ML1,2.7007162372787974,TRIM33,2.6375796873385284,CROCC,2.59999399925092,EPB41L5,2.43308286194758
3,A2ML1,PZP,3.2109105802304634,A2M,2.7007162372787974,PTPN2,2.2563534224499264,NAB1,2.1382269741745845,MRPS18C,2.079479596155297
4,A4GALT,A4GNT,3.163564545204549,TBXAS1,1.8658527669942517,MGAT3,1.7823664199657974,RNF144A,1.7661602467190973,ATMIN,1.740892557248436
5,A4GNT,A4GALT,3.163564545204549,TBXAS1,2.027259704582597,SS18L1,1.849712073235417,NMBR,1.7102103628912042,RNF144A,1.672164441888237
6,AAAS,TNFAIP8L2,2.99570133011267,ELMO2,2.9436345760519136,NEURL4,2.884386200741397,ETS1,2.771814287651416,SCN3A,2.771814287651416
7,AACS,ACMSD,1.8658527669942517,TMLHE,1.713940355146397,MPPED1,1.5833906262146473,MPPED2,1.565635863079929,HAAO,1.536170511494653
8,AADAC,AADACL2,2.0716466124193924,NCEH1,1.7873304730323538,AADACL3,1.7873304730323538,AADACL4,1.6095005720009974,MROH1,1.536170511494653
9,AADACL2,NCEH1,2.128715493923843,AADAC,2.0716466124193924,ENPP2,1.672164441888237,UVSSA,1.6026892817958627,TELO2,1.5537993543234503
10,AADACL3,AADACL4,2.5735601087277664,AADAC,1.7873304730323538,NCEH1,1.543038891817561,OLIG3,1.5199807578763684,GLOD5,1.494616810541057
11,AADACL4,AADACL3,2.5735601087277664,TBX18,1.8053251653986222,AADAC,1.6095005720009974,NCEH1,1.598696456503197,OLIG3,1.5833906262146473
