,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
0,A1BG,RPS6KA4,6.823214643925037,ATF5,6.531947954191935,DDT,6.439427946864949,ASGR1,6.415441278298694,CHCHD5,6.028227914300571
1,A1CF,HNRNPAB,6.687861299872595,APOBEC1,6.6852912996690685,CPS1,6.085624585512681,PLG,5.957124575336312,F12,5.676137886417321
2,A2M,EPAS1,7.386044688497531,RNASE1,7.26953801260429,SLCO2B1,6.943147986756315,CD93,6.852341312898347,FN1,6.713561301907869
3,A2ML1,ACOX1,5.419137866064583,RETSAT,5.103884507765226,EML3,4.839174486801906,PRSS27,4.720097810705139,ZNF185,4.479374458308074
4,A4GALT,OAF,6.220121262830614,CADM4,4.979667831261403,HES2,4.526491128706077,FBXW5,4.477661124839056,GLTP,4.362011115680325
5,A4GNT,BCDIN3D,3.5516043848346937,RASL10B,3.282611030198828,VSIG10L,2.9519376706783067,IAPP,2.8945409994661953,FH,2.8808343317140497
6,AAAS,SEC13,7.801528054734456,SEH1L,7.738134716380781,IDH3B,7.724428048628635,CCT7,7.705581380469434,NUP107,7.704724713734925
7,AACS,ZFR2,6.0205179136899885,SNX32,5.515084540329605,C2CD3,5.508231206453532,ZER1,5.291494522622724,ATP13A2,5.167277846118901
8,AADAC,MTTP,5.759234559664705,NIT2,5.69584122131103,HSD17B6,4.882864490261872,LGALS3BP,4.880294490058345,TM4SF20,4.39627778506069
9,AADACL2,ARSI,5.4105711987194915,MAB21L1,4.0416177569739125,TRIML2,3.895127745372853,NPIPB3,3.874567743744633,SPIN2B,3.6869577288871347
10,AADACL3,KIF1C,5.096174507154644,TPGS1,3.0504543451468558,REXO4,2.7077876513432066,ROM1,2.6581009807416773,KIAA1210,2.2948742853098087
11,AADACL4,FBXO48,6.483117950324915,HIGD1C,4.926554493721837,TSGA13,4.785204482527832,OR7A17,4.754364480085503,FSCN3,4.586457800121715
12,AADAT,RGPD8,6.412871278095166,RWDD3,6.037651248380171,MRPL39,5.890304570044601,PAN2,5.740387891505504,TMEM209,5.551064543178988
13,AAGAB,RAB18,6.848914645960311,TIMM23,6.77010130638547,GTF2E2,6.695571300483177,MTMR2,6.579064624589936,PSME3,6.475407949714333
14,AAK1,TCF25,7.5856480376381565,MACF1,7.4160280242053505,KANSL1,7.276391346480363,ZMYM2,7.267824679135272,AP2B1,7.195864673436506
15,AAMDC,TMEM256,7.5445280343817185,PIN4,7.4914146968421536,TPRKB,7.481991362762553,LZIC,7.250691344445089,NDUFB7,7.236128009958434
16,AAMP,OTUB1,7.737278049646271,PUF60,7.70986471414198,NDUFS3,7.6944447129208156,MAF1,7.683308045372197,UQCRC1,7.681594711903179
17,AANAT,B3GALT6,6.574781290917391,RRP9,5.639301216833428,BCDIN3D,5.541641209099388,ATRIP,5.340324526489744,CACNA1F,5.163851179180864
18,AAR2,ABT1,7.063081329587591,MAGEH1,7.0159646591895894,POP4,6.991977990623334,DOHH,6.971417988995116,POP4,6.943147986756315
19,AARD,PAM16,4.50336112687433,ZNF358,4.459671123414365,FBXO48,3.869427743337579,IRX1,3.767484401930993,FZD7,3.6723943944004804
20,AARS2,POLM,6.388884609528911,LIX1L,6.156727924476938,TMEM129,6.104471253671882,PHRF1,6.05735458327388,CCDC42,6.028227914300571
21,AASDH,COIL,7.017677992658608,C1orf52,6.705851301297287,TRMT10B,6.665587964775358,SH2B1,6.647597963350666,TGS1,6.5961979592801185
22,AASDHPPT,UBE2V2,7.495698030514698,CAPRIN1,7.335501351161493,MAT2B,7.265254678931745,MRPL13,7.248121344241563,PDHB,7.214711341595707
23,AASS,PCYT2,5.748097892116086,C5,5.590471212966408,KLF15,5.570767878072698,PHKA1,5.499664539108441,POU3F2,5.055054503898206
24,AATF,UTP6,7.685021378841215,NOC4L,7.6670313774165235,MRPL3,7.550524701523283,TBL3,7.526538032957027,WDR46,7.426308025019459
25,AATK,PHLDB1,5.467967869931604,NIPA1,5.181841180605557,AGAP3,4.47423445790102,ZER1,4.3868544509810885,SLC27A1,4.2377944391765014
26,ABAT,SCD5,5.635017883160883,ARHGAP35,5.567341211134662,IFT88,5.147574511225192,TTC21B,4.911134492500673,HS2ST1,4.774067814979213
27,ABCA1,CTSL,6.5764946243864095,CREG1,6.376891275245783,ELF1,6.224404596503159,TGFBR2,6.01794791348646,MGAT1,5.922857905955947
28,ABCA10,ABCA9,6.946574653694351,ABCA6,6.632177962129502,TTC21B,5.730964557425904,ELAVL2,5.67699455315183,MIPOL1,5.503947872780986
29,ABCA12,BEND7,3.553317718303712,SERTAD2,3.380271037932869,HES2,3.2252143589867175,BCDIN3D,3.2175043583761354,C12orf50,3.1686743545091147
30,ABCA13,RP1,5.678707886620847,MUC4,5.260654520180395,IGF2R,4.885434490465399,PLEKHS1,4.8280378192532885,MUC16,4.456244456476329
