Gene,Top_1,Top_2,Top_3,Top_4,Top_5,Score_1,Score_2,Score_3,Score_4,Score_5
RAN,HSPA8,TUBA1C,ACTR3,RANBP1,RAB11A,9.238972687293243,8.63366435237726,7.271484538252391,7.0094510198600855,6.989993560795405
HSPA8,RAN,TUBA1A,RANBP1,ACTR3,ARF4,9.238972687293243,8.30761071497618,4.505739683149671,4.109750266655836,4.0584493488424185
RAB1A,RAB11A,ATP6V1D,TRAPPC3,RAB10,ARF4,8.747728445384183,8.598499453911886,7.357082698545833,6.7900131404024275,6.4490472511579195
RAB11A,RAB1A,ATP6V1D,RAN,RAB10,GSK3B,8.747728445384183,7.102969318335413,6.989993560795405,6.671056765258737,6.560258926192157
TUBA1C,RAN,MAPRE1,PLK1,ACTR3,TUBA4A,8.63366435237726,7.917662889492779,7.689455024336402,6.550776411679598,5.9498607770968155
CLUAP1,IFT46,IFT88,IFT172,IFT57,TRAF3IP1,8.601816520287226,8.372731197988752,8.318382879659273,8.307686325198977,8.29446911657591
IFT46,CLUAP1,IFT52,IFT57,IFT172,IFT88,8.601816520287226,8.322685657061275,8.099098452729027,8.079712954786718,7.925714183733165
ATP6V1D,RAB1A,TRAPPC3,RAB11A,RAB10,ARF4,8.598499453911886,7.3653566152876095,7.102969318335413,6.623540275377931,6.1095624693243336
ACTR2,ACTR3,RAB10,RAB11A,RAB14,DPYSL2,8.537768573650927,7.006482991345714,5.794341406888616,5.783892472394825,5.614633333906758
ACTR3,ACTR2,MAPRE1,RAB10,RAN,TUBA1C,8.537768573650927,7.729994040396196,7.680770414259169,7.271484538252391,6.550776411679598
TTC21B,WDR35,IFT140,IFT122,WDR19,KIF3A,8.514683621199314,8.264902606367258,8.13920056715489,8.029029785697219,5.8849145331767065
WDR35,TTC21B,IFT140,IFT122,WDR19,BBS5,8.514683621199314,8.436706602053246,8.414637750398455,8.091060386837022,6.558868456176082
RSPH4A,RSPH3,RSPH9,RSPH1,DNALI1,NME5,8.495808009493167,8.491170372594949,7.896458068058513,6.969384025611072,6.943893081966463
RSPH3,RSPH4A,RSPH1,RSPH9,NME5,B9D1,8.495808009493167,8.40598108450739,8.107888124554963,6.7157827459711905,6.290086412549151
RSPH9,RSPH4A,RSPH3,RSPH1,ZMYND10,DNALI1,8.491170372594949,8.107888124554963,7.8434550286388856,7.624037929252583,7.326557384250786
BBS5,BBS1,BBS7,BBS4,BBS2,TTC8,8.470699368084347,8.354681816606622,8.147217204040722,7.9983961855000905,7.929476415631589
BBS1,BBS5,BBS2,BBS7,BBS4,TTC8,8.470699368084347,8.003026768822528,7.996241834255947,7.98220424706427,7.769814792306521
IFT140,WDR35,TTC21B,IFT122,WDR19,CLUAP1,8.436706602053246,8.264902606367258,8.058972597713232,8.043587452621162,7.944033336712023
IFT122,WDR35,TTC21B,IFT140,WDR19,CLUAP1,8.414637750398455,8.13920056715489,8.058972597713232,7.693955628710549,6.19722932619108
RSPH1,RSPH3,RSPH4A,RSPH9,DNALI1,ZMYND10,8.40598108450739,7.896458068058513,7.8434550286388856,7.6526396482781465,7.25670989656101
B9D1,CC2D2A,B9D2,TMEM67,ARL3,DNALI1,8.403878731099317,8.160432260859587,7.74128551543009,7.352351499802657,7.219325122376372
CC2D2A,B9D1,TMEM67,B9D2,MKS1,AHI1,8.403878731099317,7.839523780172903,7.565971603870792,6.663106333403617,6.381573739720354
IFT88,CLUAP1,IFT172,IFT52,IFT57,TRAF3IP1,8.372731197988752,8.353675428340628,8.055633305916572,8.052609920378293,8.052246192988076
EXOC4,EXOC6,EXOC5,EXOC3,EXOC6B,PAFAH1B1,8.3671235825264,8.329692076864738,7.222978864262713,6.956034640388681,6.428963300423211
EXOC6,EXOC4,EXOC5,PAFAH1B1,TTC17,EXOC3,8.3671235825264,7.772371796600412,5.794560969621628,5.150502438172008,5.114260924646723
BBS7,BBS5,BBS2,BBS4,BBS1,TTC8,8.354681816606622,8.164622517633644,8.021816059025067,7.996241834255947,7.728795034874086
IFT172,IFT88,CLUAP1,IFT46,IFT80,IFT57,8.353675428340628,8.318382879659273,8.079712954786718,7.933963919251802,7.915923034501858
EXOC5,EXOC4,EXOC6,EXOC3,ATP6V1D,RAB8B,8.329692076864738,7.772371796600412,7.239116374374633,5.78107590547286,5.533300233464801
IFT52,IFT46,CLUAP1,IFT57,IFT88,IFT172,8.322685657061275,8.21180853634287,8.181265845089978,8.055633305916572,7.8111617638797215
IFT57,CLUAP1,IFT52,IFT46,IFT88,IFT172,8.307686325198977,8.181265845089978,8.099098452729027,8.052609920378293,7.915923034501858
TUBA1A,HSPA8,TUBB2A,RAN,DYNLT1,TUBB3,8.30761071497618,7.666557495219544,6.34992345432865,6.313656211570026,5.2570417713790745
TRAF3IP1,CLUAP1,IFT88,IFT46,IFT80,IFT81,8.29446911657591,8.052246192988076,7.891154710523526,7.77149249751038,7.755193495673235
BBS2,BBS7,BBS4,BBS1,BBS5,TTC8,8.164622517633644,8.017634514221786,8.003026768822528,7.9983961855000905,7.79922859900333
B9D2,B9D1,TMEM67,CC2D2A,MKS1,AHI1,8.160432260859587,7.58012022682534,7.565971603870792,6.499366030769512,6.255841917562007
