,scGPT_bc_embeddings_Cosine_Similarity,scGPT_pancancer_embeddings_Cosine_Similarity,scGPT_CP_embeddings_similarities,scGPT_lung_embeddings_Cosine_Similarity,scGPT_heart_embeddings_Cosine_Similarity,scGPT_brain_embeddings_Cosine_Similarity,scGPT_kidney_embeddings_Cosine_Similarity,scGPT_human_embeddings_Cosine_Similarity,GF-6L30M_HUMANemb_Cosine_Similarity,GF-20L95M_HUMANemb_Cosine_Similarity,GF-12L95M_HUMANemb_Cosine_Similarity,GF-12L95MCANCER_UNIPROT_HUMANemb_Cosine_Similarity,GF-12L30M_HUMANemb_Cosine_Similarity,Correlation,GeneAB,Random Forest predictions,Random Forest probabilities,Prob_Bin,Gene_A,Gene_B,Same_Complex
131,0.28006523847579956,0.4573865532875061,0.3442258834838867,0.2781396806240082,0.10559621453285217,0.26754316687583923,0.048957712948322296,0.3458021879196167,0.6029912233352661,0.26511240005493164,0.8480053544044495,0.8939105272293091,0.8202104568481445,0.18212637714752816,DNAH7_ARMC3,1,0.92,4,DNAH7,ARMC3,0
1017,0.20980677008628845,0.4003552496433258,0.35024088621139526,0.22598400712013245,0.09892331063747406,0.29213953018188477,0.08078940212726593,0.3547877371311188,0.5927469730377197,0.217168927192688,0.836769700050354,0.8830048441886902,0.8843597769737244,0.25729404345566026,DNAH7_SPEF2,1,0.9,4,DNAH7,SPEF2,0
1181,0.1869739592075348,0.45034536719322205,0.4246446192264557,0.22474318742752075,0.1097036600112915,0.43222129344940186,0.04089502617716789,0.42535191774368286,0.5882666707038879,0.2592736482620239,0.8317674398422241,0.8764824271202087,0.777080774307251,0.3405292620295619,CFAP45_CFAP300,1,0.91,4,CFAP45,CFAP300,0
1344,0.32593682408332825,0.384749174118042,0.42954638600349426,0.3171246349811554,0.16535989940166473,0.4409511685371399,0.12622672319412231,0.4318463206291199,0.5940525531768799,0.40023863315582275,0.8653347492218018,0.8798259496688843,0.7973777055740356,0.30461963031449163,CIBAR2_DYDC2,1,0.9,4,CIBAR2,DYDC2,0
1404,0.20865704119205475,0.44054850935935974,0.38099250197410583,0.2256614863872528,0.10980957001447678,0.3565032482147217,0.055337000638246536,0.3816908597946167,0.5628342032432556,0.2597227096557617,0.8181678056716919,0.8647646307945251,0.747805118560791,0.10453057831312022,CFAP300_DYNLT4,1,0.96,4,CFAP300,DYNLT4,0
1411,0.19858112931251526,0.3584557771682739,0.37584102153778076,0.24417276680469513,0.11205066740512848,0.21906912326812744,0.06069778650999069,0.37678998708724976,0.384487122297287,0.23176905512809753,0.7864354848861694,0.8244199752807617,0.7642029523849487,0.1262213495942061,DPCD_DYNLT4,1,0.9,4,DPCD,DYNLT4,0
1423,0.2564917504787445,0.4334971606731415,0.38506993651390076,0.273415207862854,0.143364816904068,0.28737664222717285,0.05990518629550934,0.3859015107154846,0.5493630170822144,0.3059104084968567,0.8354235887527466,0.8645252585411072,0.7869642972946167,0.3952719880051233,RSPH9_DYNLT4,1,0.92,4,RSPH9,DYNLT4,0
1583,0.21578530967235565,0.3472859859466553,0.37427061796188354,0.26625901460647583,0.1077733039855957,0.3232664465904236,0.03738081082701683,0.37470486760139465,0.5345273017883301,0.33364978432655334,0.8058454990386963,0.8771694898605347,0.764525294303894,0.552746252128717,CFAP45_SPAG6,1,0.91,4,CFAP45,SPAG6,0
1721,0.299345463514328,0.40976396203041077,0.3247705101966858,0.21921688318252563,0.10357904434204102,0.26431363821029663,0.09774259477853775,0.32603156566619873,0.5492154359817505,0.2658551335334778,0.8636789321899414,0.8879781365394592,0.7921043634414673,0.2113873803821369,RSPH4A_RSPH9,1,1.0,4,RSPH4A,RSPH9,1
2230,0.13614508509635925,0.35246285796165466,0.31729385256767273,0.10898025333881378,0.11284303665161133,0.28034377098083496,0.06715608388185501,0.31754428148269653,0.5545940399169922,0.25389808416366577,0.8894534707069397,0.9217470288276672,0.8999285101890564,0.24369681002657803,TCTN2_TMEM231,1,0.98,4,TCTN2,TMEM231,1
