Gene,Connections,Community,Degree,Weighted_Degree,Betweenness,WeightedDegreeZ,BetweennessZ,DegreeZ
RAN,"[('HSPA8', 9.238972687293243), ('TUBA1C', 8.63366435237726), ('ACTR3', 7.271484538252391), ('RANBP1', 7.0094510198600855), ('RAB11A', 6.989993560795405), ('TUBA1A', 6.34992345432865), ('VDAC3', 6.072495580545671), ('TUBB2B', 3.746219688007494)]",0,8,55.31220488146019,0.0007590132827324,1.0568224585794541,-0.6380160702612633,0.1205724571622956
HSPA8,"[('RAN', 9.238972687293243), ('TUBA1A', 8.30761071497618), ('RANBP1', 4.505739683149671), ('ACTR3', 4.109750266655836), ('ARF4', 4.0584493488424185)]",0,5,30.22052270091735,0.0015007762635846,-0.08885903352336601,-0.5871706153601747,-0.8026166551400582
TUBA1C,"[('RAN', 8.63366435237726), ('MAPRE1', 7.917662889492779), ('PLK1', 7.689455024336402), ('ACTR3', 6.550776411679598), ('TUBA4A', 5.949860777096816), ('SSNA1', 4.478025918956722)]",0,6,41.21944537393958,5.175090564084872e-05,0.4133497083569692,-0.6864966202832259,-0.4948869510392736
ACTR3,"[('RAN', 7.271484538252391), ('HSPA8', 4.109750266655836), ('TUBA1C', 6.550776411679598), ('ACTR2', 8.537768573650927), ('MAPRE1', 7.729994040396196), ('RAB10', 7.680770414259169), ('RAB8A', 6.467876583969002), ('ARF4', 5.4785511664319975), ('RAB14', 6.4853291434507785), ('RAB8B', 5.420067928356416), ('GSN', 2.1283682624252904), ('SLC47A2', 0.7694559781671193)]",0,12,68.63019330769473,0.0238399171985509,1.6649193068572594,0.9441052938702073,1.351491273565434
RANBP1,"[('RAN', 7.0094510198600855), ('HSPA8', 4.505739683149671), ('RAB8A', 5.121232644200679), ('VDAC3', 6.175201345398792), ('SSNA1', 5.458949030219308), ('MAPRE1', 4.811177012498666), ('ATXN10', 4.497675588142524)]",0,7,37.57942632346973,0.0007762635846127,0.24714712269458528,-0.6368336178217019,-0.187157246938489
RAB11A,"[('RAN', 6.989993560795405), ('RAB1A', 8.747728445384183), ('ATP6V1D', 7.102969318335413), ('RAB10', 6.671056765258737), ('GSK3B', 6.560258926192157), ('ACTR2', 5.794341406888616), ('ARF4', 6.511223090307034), ('TNPO1', 4.901675344082113), ('ARL2', 3.511204482051243), ('VDAC3', 5.925225322521096)]",0,10,62.715676661816,0.0006210108676901,1.3948635885056289,-0.6474756897777468,0.7360318653638648
TUBA1A,"[('HSPA8', 8.30761071497618), ('TUBB2A', 7.666557495219544), ('RAN', 6.34992345432865), ('DYNLT1', 6.313656211570026), ('TUBB3', 5.2570417713790745), ('TUBB2B', 3.970810491267196)]",0,6,37.86560013874067,0.0001552527169225,0.26021376531030443,-0.6794019056458681,-0.4948869510392736
ARF4,"[('HSPA8', 4.0584493488424185), ('RAB1A', 6.44904725115792), ('ATP6V1D', 6.1095624693243336), ('TRAPPC3', 6.174359126695037), ('RAB11A', 6.511223090307034), ('ACTR3', 5.4785511664319975), ('RAB14', 5.294103450417936)]",0,7,40.075295903176674,0.0001552527169225,0.3611080585775546,-0.6794019056458681,-0.187157246938489
RAB1A,"[('RAB11A', 8.747728445384183), ('ATP6V1D', 8.598499453911886), ('TRAPPC3', 7.357082698545833), ('RAB10', 6.790013140402428), ('ARF4', 6.44904725115792), ('TUBB2A', 4.911645300965567), ('DYNLT1', 5.631280297222633), ('CSNK1D', 5.620325957725463), ('CTNNB1', 4.472167796688597)]",0,9,58.577790342004505,0.001466275659824,1.2059284769047964,-0.5895355202392972,0.4283021612630802
ATP6V1D,"[('RAB1A', 8.598499453911886), ('RAB11A', 7.102969318335413), ('TRAPPC3', 7.3653566152876095), ('RAB10', 6.623540275377931), ('ARF4', 6.1095624693243336), ('EXOC5', 5.78107590547286), ('ARL2', 3.808012220654964), ('RAB8B', 4.006002416188995), ('SLC47A2', 1.6031064923868257)]",0,9,50.99812516694082,0.0045540796963946,0.8598423896937684,-0.3778765335580343,0.4283021612630802
