Gene,Community,Degree,Weighted_Degree,Betweenness
RAN,0,8,55.31220488146019,0.0007590132827324479
HSPA8,0,5,30.22052270091735,0.0015007762635846128
TUBA1C,0,6,41.21944537393958,5.1750905640848716e-05
ACTR3,0,12,68.63019330769473,0.023839917198550976
RANBP1,0,7,37.57942632346973,0.0007762635846127307
RAB11A,0,10,62.715676661816,0.0006210108676901846
TUBA1A,0,6,37.86560013874067,0.00015525271692254616
ARF4,0,7,40.075295903176674,0.00015525271692254616
RAB1A,0,9,58.577790342004505,0.0014662756598240471
ATP6V1D,0,9,50.998125166940824,0.0045540796963946875
TRAPPC3,0,10,54.57473938941596,0.010212178713127481
RAB10,1,10,59.50683466385372,0.0025012937726410214
GSK3B,1,10,53.760217189665724,0.0026910470933241334
MAPRE1,0,11,63.63130298168452,0.0022425392444367777
PLK1,0,7,34.59457284703843,0.005347593582887701
TUBA4A,0,5,23.581958288518315,0.000914265999654994
CLUAP1,2,18,123.15354988160223,0.0019837847162325344
IFT46,2,13,75.81478501959045,0.009315163015352769
IFT88,2,16,107.70829386826186,0.005951354148697603
IFT172,2,12,81.5707653363982,0.0013627738485423495
IFT57,2,10,70.56973499060685,0.0007590132827324479
TRAF3IP1,2,12,70.34606271009146,0.004295325168190443
IFT52,2,19,122.95374150596082,0.0031223046403312063
ACTR2,1,9,50.30309857844729,0.0012592720372606521
RAB14,1,7,35.123891026656764,0.0017250301880282906
DPYSL2,1,6,26.373723417402317,0.0024667931688804557
TTC21B,2,9,56.05448816254603,0.0015007762635846128
WDR35,2,18,91.6051450570797,0.025685699499741248
IFT140,2,10,56.348206707785735,0.005537346903570813
IFT122,2,9,57.067877254892124,0.0007072623770915991
WDR19,2,7,47.08572856711542,0.0002760048300845265
KIF3A,2,7,33.544144671710754,0.0033810591685354495
BBS5,2,17,86.9964617481185,0.03529411764705882
RSPH4A,3,11,70.9669007849035,0.0004657581507676385
RSPH3,3,8,50.124092354661684,0.002070036225633949
RSPH9,3,12,81.22722472944129,0.0009832672071761256
RSPH1,3,17,107.72041133310121,0.001863032603070554
DNALI1,3,20,111.11601079526288,0.02642746248059341
NME5,3,6,37.30961090487281,0.00013800241504226325
B9D1,2,19,118.36397810426114,0.007710884940486459
ZMYND10,3,13,74.37625453964108,0.003519061583577713
