,Gene_1,Gene_2,Similarity,pair_type
0,HTR6,ADCY3,0.42857142857142855,positive-positive
1,HTR6,AHI1,0.38095238095238093,positive-positive
2,HTR6,ALMS1,0.875,positive-positive
3,HTR6,ARL13B,0.2857142857142857,positive-positive
4,HTR6,ARF4,0.22950819672131148,positive-positive
5,HTR6,ARL3,0.23529411764705882,positive-positive
6,HTR6,ARL6,0.29411764705882354,positive-positive
7,HTR6,ASAP1,0.39473684210526316,positive-positive
8,HTR6,ATXN10,0.3684210526315789,positive-positive
9,HTR6,B9D1,0.25,positive-positive
10,HTR6,B9D2,0.22033898305084745,positive-positive
11,HTR6,BBS12,0.7894736842105263,positive-positive
12,HTR6,BBS1,0.23728813559322035,positive-positive
13,HTR6,BBS10,0.8333333333333334,positive-positive
14,HTR6,BBS2,0.2807017543859649,positive-positive
15,HTR6,BBS4,0.25,positive-positive
16,HTR6,BBS5,0.24193548387096775,positive-positive
17,HTR6,BBS7,0.2542372881355932,positive-positive
18,HTR6,C2CD3,0.5357142857142857,positive-positive
19,HTR6,CC2D2A,0.25806451612903225,positive-positive
20,HTR6,CDH23,0.625,positive-positive
21,HTR6,C2orf71,0.7647058823529411,positive-positive
22,HTR6,CBY1,0.625,positive-positive
23,HTR6,CCDC103,0.48148148148148145,positive-positive
24,HTR6,CCDC114,0.20588235294117646,positive-positive
25,HTR6,CCDC28B,0.4642857142857143,positive-positive
26,HTR6,CCDC37,0.30434782608695654,positive-positive
27,HTR6,CCDC40,0.1694915254237288,positive-positive
28,HTR6,CCDC39,0.2807017543859649,positive-positive
29,HTR6,CEP104,0.23076923076923078,positive-positive
30,HTR6,CEP164,0.3684210526315789,positive-positive
31,HTR6,CEP290,0.4444444444444444,positive-positive
32,HTR6,CENPJ,0.23809523809523808,positive-positive
33,HTR6,CEP41,0.4,positive-positive
34,HTR6,CEP72,0.5652173913043478,positive-positive
35,HTR6,CEP83,0.631578947368421,positive-positive
36,HTR6,CEP89,0.7619047619047619,positive-positive
37,HTR6,CEP97,0.5161290322580645,positive-positive
38,HTR6,C8orf37,0.4,positive-positive
39,HTR6,CLDN2,0.6111111111111112,positive-positive
40,HTR6,CLUAP1,0.23880597014925373,positive-positive
41,HTR6,CNGA2,0.3137254901960784,positive-positive
42,HTR6,CNGA4,0.3181818181818182,positive-positive
43,HTR6,CNGB1,0.3684210526315789,positive-positive
44,HTR6,CCP110,0.7368421052631579,positive-positive
45,HTR6,CEP131,0.29545454545454547,positive-positive
46,HTR6,CEP135,0.35135135135135137,positive-positive
47,HTR6,CEP250,0.5789473684210527,positive-positive
48,HTR6,CROCC,0.46875,positive-positive
49,HTR6,CRB3,0.5,positive-positive
50,HTR6,CTNNB1,0.45714285714285713,positive-positive
51,HTR6,C21orf2,0.2777777777777778,positive-positive
52,HTR6,DNAAF1,0.2222222222222222,positive-positive
53,HTR6,DNAAF3,0.24,positive-positive
54,HTR6,DCDC2,0.5714285714285714,positive-positive
55,HTR6,DISC1,0.625,positive-positive
56,HTR6,DNAI1,0.2153846153846154,positive-positive
57,HTR6,DNAI2,0.25,positive-positive
58,HTR6,DNAL1,0.26229508196721313,positive-positive
59,HTR6,DPCD,0.375,positive-positive
60,HTR6,DPYSL2,0.24528301886792453,positive-positive
61,HTR6,DRC1,0.2631578947368421,positive-positive
62,HTR6,DRD1,0.64,positive-positive
63,HTR6,DRD2,0.56,positive-positive
64,HTR6,DRD5,0.5555555555555556,positive-positive
65,HTR6,DVL1,0.3611111111111111,positive-positive
66,HTR6,DNAH10,0.2459016393442623,positive-positive
67,HTR6,DNAH11,0.21818181818181817,positive-positive
68,HTR6,DNAH1,0.19298245614035087,positive-positive
69,HTR6,DNAH2,0.22033898305084745,positive-positive
70,HTR6,DNAH5,0.21212121212121213,positive-positive
71,HTR6,DNAH6,0.22033898305084745,positive-positive
72,HTR6,DYNC2H1,0.23809523809523808,positive-positive
73,HTR6,DYNLT1,0.21333333333333335,positive-positive
74,HTR6,DYX1C1,0.2916666666666667,positive-positive
75,HTR6,EFHC1,0.21739130434782608,positive-positive
76,HTR6,EVC,0.75,positive-positive
77,HTR6,EXOC6B,0.21739130434782608,positive-positive
78,HTR6,EXOC3,0.3333333333333333,positive-positive
79,HTR6,EXOC4,0.234375,positive-positive
80,HTR6,EXOC6,0.234375,positive-positive
81,HTR6,EXOC5,0.2318840579710145,positive-positive
82,HTR6,FAM161A,0.48,positive-positive
83,HTR6,FBF1,0.7368421052631579,positive-positive
84,HTR6,FLNA,0.26,positive-positive
85,HTR6,FOPNL,0.3409090909090909,positive-positive
86,HTR6,FOXJ1,0.41025641025641024,positive-positive
87,HTR6,WDPCP,0.5161290322580645,positive-positive
88,HTR6,RPGRIP1L,0.4411764705882353,positive-positive
89,HTR6,FUZ,0.41935483870967744,positive-positive
90,HTR6,GAS8,0.25,positive-positive
91,HTR6,TUBGCP2,0.18292682926829268,positive-positive
92,HTR6,TUBGCP4,0.27586206896551724,positive-positive
93,HTR6,TUBGCP3,0.17204301075268819,positive-positive
94,HTR6,TUBGCP5,0.375,positive-positive
95,HTR6,TUBGCP6,0.4411764705882353,positive-positive
96,HTR6,GLI1,0.40540540540540543,positive-positive
97,HTR6,GLI2,0.39473684210526316,positive-positive
98,HTR6,GLI3,0.41025641025641024,positive-positive
99,HTR6,GLIS2,0.5833333333333334,positive-positive
100,HTR6,GPR161,0.7894736842105263,positive-positive
101,HTR6,GPR98,0.6956521739130435,positive-positive
102,HTR6,GSK3B,0.16,positive-positive
103,HTR6,HAP1,0.4117647058823529,positive-positive
104,HTR6,HTT,0.37209302325581395,positive-positive
105,HTR6,HEATR2,0.2857142857142857,positive-positive
106,HTR6,HNF1B,0.65,positive-positive
107,HTR6,HSPA8,0.14705882352941177,positive-positive
108,HTR6,HYDIN,0.2542372881355932,positive-positive
109,HTR6,HYLS1,0.631578947368421,positive-positive
110,HTR6,DNALI1,0.25396825396825395,positive-positive
111,HTR6,IFT122,0.21212121212121213,positive-positive
112,HTR6,IFT140,0.24615384615384617,positive-positive
113,HTR6,IFT172,0.24242424242424243,positive-positive
114,HTR6,IFT20,0.3018867924528302,positive-positive
115,HTR6,IFT22,0.2641509433962264,positive-positive
116,HTR6,HSPB11,0.5,positive-positive
117,HTR6,IFT27,0.3333333333333333,positive-positive
118,HTR6,IFT46,0.24615384615384617,positive-positive
119,HTR6,IFT52,0.22388059701492538,positive-positive
120,HTR6,IFT43,0.5,positive-positive
121,HTR6,IFT57,0.25,positive-positive
122,HTR6,IFT80,0.2153846153846154,positive-positive
123,HTR6,IFT74,0.27450980392156865,positive-positive
124,HTR6,IFT81,0.23333333333333334,positive-positive
125,HTR6,IFT88,0.2318840579710145,positive-positive
126,HTR6,INPP5E,0.30434782608695654,positive-positive
127,HTR6,INTU,0.46875,positive-positive
128,HTR6,INVS,0.4666666666666667,positive-positive
129,HTR6,IQCB1,0.7142857142857143,positive-positive
130,HTR6,JADE1,0.3333333333333333,positive-positive
131,HTR6,AK7,0.32,positive-positive
132,HTR6,AK8,0.3018867924528302,positive-positive
133,HTR6,KIF19,0.24193548387096775,positive-positive
134,HTR6,KIF17,0.2553191489361702,positive-positive
135,HTR6,KIF24,0.23529411764705882,positive-positive
136,HTR6,KIF3B,0.23076923076923078,positive-positive
137,HTR6,KIF3A,0.2028985507246377,positive-positive
138,HTR6,KIF3C,0.21311475409836064,positive-positive
139,HTR6,KIF27,0.375,positive-positive
140,HTR6,KIF7,0.5652173913043478,positive-positive
141,HTR6,DNAAF2,0.2830188679245283,positive-positive
142,HTR6,EVC2,0.8235294117647058,positive-positive
143,HTR6,LCA5,0.6818181818181818,positive-positive
144,HTR6,PAFAH1B1,0.20967741935483872,positive-positive
145,HTR6,LZTFL1,0.4411764705882353,positive-positive
146,HTR6,MAK,0.189873417721519,positive-positive
147,HTR6,MAL,0.7647058823529411,positive-positive
148,HTR6,MAPRE1,0.15789473684210525,positive-positive
149,HTR6,MCHR1,0.8235294117647058,positive-positive
150,HTR6,MDM1,0.7647058823529411,positive-positive
151,HTR6,TRAF3IP1,0.2222222222222222,positive-positive
152,HTR6,MKKS,0.6666666666666666,positive-positive
153,HTR6,MKS1,0.36363636363636365,positive-positive
154,HTR6,TMEM67,0.2631578947368421,positive-positive
155,HTR6,MLF1,0.4666666666666667,positive-positive
156,HTR6,MNS1,0.42105263157894735,positive-positive
157,HTR6,MYO15A,0.3333333333333333,positive-positive
