Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
A1CF	"ACF, ACF64, ACF65, APOBEC1CF, ASP"	ENSG00000148584	"APOBEC1 complementation factor"	Q9NQ94	10	50799409-50885675	"Predicted intracellular proteins"	"mRNA processing"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"liver: 148.5"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 152.6;Distal enterocytes: 91.2;Enteroendocrine cells: 92.5;Hepatocytes: 340.5;Intestinal goblet cells: 59.4;Paneth cells: 90.4;Proximal enterocytes: 148.7;Proximal tubular cells: 91.8"	"Cell type enriched"	"Detected in some"	6	"cerebellar inhibitory: 7.4"	"Cancer enriched"	"Detected in many"	5	"Liver Hepatocellular Carcinoma (TCGA): 35.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"liver cancer: 21.2"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA037779, HPA044079"	Enhanced		Supported	Nucleoplasm			NA	NA				"Cluster 83: Liver - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	19	Nucleoplasm		"HPA037779: AB_10670529, HPA044079: AB_2678800"					"unprognostic (1.77e-1)"	"unprognostic (2.54e-2)"					"potential prognostic favorable (2.84e-8)"	"unprognostic (7.85e-3)"	"unprognostic (2.76e-2)"	"unprognostic (1.71e-1)"	"unprognostic (6.26e-2)"							"unprognostic (2.71e-2)"	"unprognostic (1.81e-1)"		"unprognostic (2.99e-1)"	"unprognostic (3.29e-2)"		"unprognostic (4.72e-2)"			
ABAT	"GABA-T, GABAT"	ENSG00000183044	"4-aminobutyrate aminotransferase"	P80404	16	8674596-8784575	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Neurotransmitter degradation"	"Aminotransferase, Transferase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 127.6;kidney: 128.6;liver: 335.3;pancreas: 134.0"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 263.2;Horizontal cells: 67.4;Inhibitory neurons: 91.1;Oligodendrocyte precursor cells: 72.2;Proximal tubular cells: 76.0"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Glioblastoma Multiforme (TCGA): 88.5"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Exocrine glandular cells, Prostate - Prostate glandular cells, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041528, HPA041690"	Enhanced	Supported	Supported	Mitochondria			No	No		1600000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 62: Hepatocytes - Metabolism"	6	Mitochondria		"HPA041528: AB_10795690, HPA041690: AB_10794674"	"unprognostic (5.62e-2)"	"unprognostic (1.01e-1)"	"unprognostic (2.16e-2)"	"unprognostic (1.67e-1)"	"unprognostic (1.18e-1)"	"unprognostic (5.31e-3)"	"unprognostic (3.90e-1)"	"unprognostic (1.09e-1)"	"unprognostic (3.66e-1)"	"unprognostic (3.07e-1)"	"potential prognostic favorable (5.11e-8)"	"unprognostic (4.54e-2)"	"potential prognostic favorable (2.14e-5)"	"potential prognostic favorable (5.42e-4)"	"unprognostic (2.22e-3)"	"potential prognostic favorable (6.68e-5)"	"unprognostic (7.12e-3)"	"unprognostic (1.97e-1)"	"unprognostic (8.41e-2)"	"unprognostic (1.58e-1)"	"unprognostic (7.24e-2)"	"unprognostic (2.97e-2)"	"unprognostic (2.55e-1)"	"unprognostic (1.83e-1)"	"unprognostic (3.98e-2)"	"unprognostic (2.52e-1)"	"unprognostic (4.48e-1)"	"unprognostic (5.41e-2)"	"unprognostic (7.31e-2)"	"unprognostic (2.78e-1)"	"unprognostic (3.88e-2)"
ABCD3	"PMP70, PXMP1, ZWS2"	ENSG00000117528	"ATP binding cassette subfamily D member 3"	P28288	1	94418389-94518666	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 122.8"	"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells, Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA032026, HPA032027, CAB032516, CAB075749"	Enhanced		Enhanced	Peroxisomes			NA	NA		11000	"Cluster 33: Non-specific - ATP binding"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 55: Non-specific - Transcription"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	35	Peroxisomes		"CAB032516: AB_2257637, CAB075749: AB_2665755, HPA032026: AB_2674117, HPA032027: AB_10602103"	"unprognostic (4.91e-3)"	"unprognostic (6.45e-2)"	"unprognostic (9.71e-2)"	"unprognostic (2.35e-1)"	"potential prognostic favorable (9.32e-9)"	"unprognostic (3.62e-2)"	"unprognostic (6.78e-2)"	"unprognostic (5.27e-2)"	"unprognostic (2.24e-1)"	"unprognostic (1.62e-2)"	"potential prognostic favorable (8.42e-8)"	"unprognostic (1.97e-2)"	"unprognostic (5.59e-2)"	"unprognostic (8.96e-3)"	"unprognostic (4.54e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.15e-1)"	"unprognostic (3.23e-1)"	"unprognostic (2.10e-2)"	"unprognostic (1.53e-1)"	"unprognostic (2.89e-1)"	"unprognostic (9.61e-2)"	"unprognostic (6.76e-2)"	"unprognostic (2.60e-1)"	"unprognostic (1.16e-2)"	"unprognostic (4.68e-2)"	"unprognostic (1.15e-1)"	"unprognostic (1.48e-1)"	"unprognostic (2.41e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.96e-3)"
ABI2	"ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2"	ENSG00000138443	"Abl interactor 2"	Q9NYB9	2	203328280-203447728	"Predicted intracellular proteins"	"Host-virus interaction, Neurogenesis"		"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 194.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Spleen - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA070567	Enhanced		Supported	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 64: Neuronal - Transcription"	"Cluster 33: Neurons - Mixed function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 9: Endometrial stromal cells - Transcription"	166	Nucleoplasm	"Vesicles, Cytosol"	"HPA070567: AB_2686281"	"unprognostic (1.12e-1)"	"unprognostic (1.61e-1)"	"unprognostic (1.37e-1)"	"unprognostic (5.27e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.95e-1)"	"unprognostic (1.49e-1)"	"unprognostic (2.12e-1)"	"unprognostic (2.23e-2)"	"unprognostic (2.44e-2)"	"potential prognostic favorable (9.19e-5)"	"unprognostic (1.06e-3)"	"unprognostic (8.45e-3)"	"potential prognostic unfavorable (2.89e-4)"	"unprognostic (5.20e-2)"	"unprognostic (3.13e-1)"	"unprognostic (1.70e-2)"	"unprognostic (1.24e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.96e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.49e-1)"	"unprognostic (8.45e-2)"	"unprognostic (2.73e-1)"	"unprognostic (3.52e-1)"	"unprognostic (4.31e-3)"	"unprognostic (1.53e-1)"	"unprognostic (4.25e-2)"	"unprognostic (3.24e-1)"	"unprognostic (1.26e-1)"	"unprognostic (2.12e-1)"
ABR	MDB	ENSG00000159842	"ABR activator of RhoGEF and GTPase"	Q12979	17	1003519-1229738	"Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 113.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 162.9;Late spermatids: 159.3;Microglial cells: 139.6"	"Cell type enhanced"	"Detected in all"		"central nervous system macrophage: 1131.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	14	"basophil: 9.0"	"Lineage enriched"	"Detected in single"	15	"granulocytes: 9.0"	"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA053618, HPA054824"	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 36: Late spermatids - Unknown function"	3	Cytosol	Nucleoplasm	"HPA053618: AB_2682208, HPA054824: AB_2682616"	"unprognostic (4.17e-3)"	"unprognostic (1.15e-1)"	"unprognostic (4.00e-1)"	"unprognostic (1.21e-2)"	"unprognostic (1.31e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.41e-1)"	"unprognostic (3.46e-2)"	"unprognostic (1.11e-1)"	"unprognostic (1.63e-2)"	"unprognostic (1.31e-2)"	"unprognostic (1.75e-1)"	"unprognostic (1.58e-1)"		"unprognostic (6.98e-2)"	"unprognostic (2.70e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.40e-3)"	"unprognostic (3.52e-2)"	"unprognostic (1.60e-3)"	"unprognostic (3.29e-2)"	"unprognostic (2.11e-2)"	"unprognostic (1.45e-2)"	"unprognostic (1.59e-1)"	"unprognostic (1.20e-2)"	"unprognostic (4.92e-2)"	"unprognostic (2.72e-1)"	"unprognostic (7.28e-2)"	"unprognostic (2.08e-1)"	"unprognostic (2.51e-2)"	"unprognostic (3.70e-1)"
ABRACL	"C6orf115, Costars, HSPC280, PRO2013"	ENSG00000146386	"ABRA C-terminal like"	Q9P1F3	6	139028745-139043302	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 366.4;Proximal tubular cells: 417.3"	"Cell type enhanced"	"Detected in many"		"leukocyte: 44.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Kidney - Proximal tubular cells, Skin - Outer root sheath cells, Spleen - Macrophages, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA030217	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA		5300000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation"	"Cluster 51: Neurons - Mixed function"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 19: NK-cells - Adaptive immune response"		Nucleoplasm	Cytosol	"HPA030217: AB_10602335"	"unprognostic (3.10e-2)"	"unprognostic (2.49e-3)"		"unprognostic (1.43e-1)"	"unprognostic (7.47e-2)"	"unprognostic (4.83e-2)"	"unprognostic (4.56e-2)"	"unprognostic (8.21e-2)"	"unprognostic (2.21e-1)"	"unprognostic (6.08e-3)"	"unprognostic (2.59e-2)"	"unprognostic (1.65e-3)"	"unprognostic (1.04e-1)"	"unprognostic (3.49e-3)"		"unprognostic (3.96e-2)"	"unprognostic (1.81e-2)"	"unprognostic (9.69e-2)"	"unprognostic (1.51e-1)"	"unprognostic (5.30e-2)"	"unprognostic (2.34e-2)"	"unprognostic (5.71e-2)"	"potential prognostic unfavorable (4.46e-4)"	"unprognostic (1.57e-1)"	"unprognostic (2.65e-2)"	"unprognostic (2.63e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.24e-2)"	"unprognostic (5.45e-2)"	"unprognostic (2.34e-2)"	"unprognostic (3.49e-1)"
ACAA1	Lnc-Myd88	ENSG00000060971	"Acetyl-CoA acyltransferase 1"	P09110	3	38103129-38137242	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"kidney: 204.7;liver: 638.8"	"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 388.0;Hepatocytes: 782.2;Proximal enterocytes: 422.5;Proximal tubular cells: 523.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA006764, HPA007244"	Enhanced		Supported	Peroxisomes			NA	NA		3200000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	11	Peroxisomes		"HPA006764: AB_1078085, HPA007244: AB_1078084"	"unprognostic (2.66e-2)"	"unprognostic (9.87e-3)"	"unprognostic (1.42e-1)"	"unprognostic (6.18e-3)"	"unprognostic (6.40e-2)"	"unprognostic (6.86e-2)"	"unprognostic (3.48e-1)"	"unprognostic (1.33e-1)"	"unprognostic (5.98e-3)"	"potential prognostic unfavorable (6.26e-4)"	"potential prognostic favorable (7.10e-11)"	"unprognostic (1.47e-3)"	"potential prognostic favorable (2.00e-5)"	"unprognostic (5.74e-3)"	"unprognostic (3.92e-3)"	"unprognostic (8.21e-2)"	"unprognostic (2.06e-1)"	"unprognostic (7.24e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.99e-1)"	"unprognostic (5.85e-3)"	"unprognostic (1.34e-1)"	"unprognostic (2.90e-1)"	"unprognostic (2.63e-1)"	"unprognostic (1.40e-1)"	"unprognostic (5.34e-2)"	"unprognostic (2.08e-1)"	"unprognostic (8.65e-2)"	"unprognostic (1.98e-2)"	"unprognostic (1.31e-2)"
ACADM	"ACAD1, MCAD, MCADH"	ENSG00000117054	"Acyl-CoA dehydrogenase medium chain"	P11310	1	75724431-75787575	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 356.4;skeletal muscle: 367.9;tongue: 458.9"	"Group enriched"	"Detected in all"	4	"Cardiomyocytes: 632.8;Distal tubular cells: 233.6;Hepatocytes: 279.0;Proximal tubular cells: 524.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skin - Sebaceous gland cells, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006198, HPA026542"	Enhanced		Supported	"Mitochondria,Calyx,Principal piece"			NA	NA		560000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	12	Mitochondria	"Calyx, Principal piece"	"HPA006198: AB_1078087, HPA026542: AB_1844469"	"unprognostic (6.45e-2)"	"unprognostic (6.04e-2)"	"unprognostic (2.18e-1)"	"unprognostic (1.44e-1)"	"unprognostic (7.57e-3)"	"unprognostic (2.73e-3)"	"unprognostic (8.00e-2)"	"unprognostic (2.55e-1)"	"unprognostic (2.07e-2)"	"unprognostic (2.75e-2)"	"validated prognostic favorable (4.28e-13)"	"validated prognostic favorable (1.48e-4)"	"unprognostic (1.19e-2)"	"unprognostic (7.83e-2)"	"unprognostic (2.51e-2)"	"unprognostic (1.10e-1)"	"unprognostic (3.13e-2)"	"unprognostic (7.77e-2)"	"unprognostic (1.14e-1)"	"unprognostic (3.22e-2)"	"unprognostic (7.49e-2)"	"unprognostic (2.40e-1)"	"unprognostic (1.35e-2)"	"unprognostic (2.68e-1)"	"unprognostic (7.10e-3)"	"unprognostic (1.03e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.10e-1)"	"unprognostic (4.55e-2)"	"unprognostic (1.80e-1)"	"unprognostic (2.72e-2)"
ACAT1	"ACAT, THIL"	ENSG00000075239	"Acetyl-CoA acetyltransferase 1"	P24752	11	108116695-108147603	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 599.8;liver: 939.5"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 814.6;Distal tubular cells: 556.3;Hepatocytes: 776.1;Proximal tubular cells: 1447.9"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Kidney Chromophobe (TCGA): 542.4"	"Region enriched"	"Detected in all"	4	"choroid plexus: 124.0"	"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Spleen - Macrophages, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004428, HPA007569"	Enhanced		Enhanced	Mitochondria			NA	NA		660000	"Cluster 33: Non-specific - ATP binding"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 24: Non-specific - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	14	Mitochondria		"HPA004428: AB_1078088, HPA007569: AB_1844482"	"unprognostic (9.86e-2)"	"unprognostic (2.31e-2)"	"unprognostic (3.32e-1)"	"unprognostic (1.01e-1)"	"unprognostic (8.32e-2)"	"unprognostic (2.05e-2)"	"unprognostic (4.08e-1)"	"unprognostic (3.01e-2)"	"unprognostic (4.54e-2)"	"unprognostic (1.29e-1)"	"potential prognostic favorable (1.55e-11)"	"unprognostic (9.23e-3)"	"potential prognostic favorable (3.02e-5)"	"potential prognostic favorable (4.27e-4)"	"unprognostic (1.04e-3)"	"unprognostic (5.77e-3)"	"unprognostic (3.21e-1)"	"unprognostic (1.73e-1)"	"unprognostic (2.84e-1)"	"unprognostic (1.60e-2)"	"unprognostic (1.17e-1)"	"unprognostic (3.18e-2)"	"unprognostic (3.99e-2)"	"unprognostic (4.19e-2)"	"unprognostic (2.91e-2)"	"unprognostic (2.04e-1)"	"unprognostic (1.62e-2)"	"unprognostic (1.67e-1)"	"unprognostic (2.78e-1)"	"unprognostic (4.64e-2)"	"unprognostic (6.88e-2)"
ACO1	"IREB1, IREBP, IRP1"	ENSG00000122729	"Aconitase 1"	P21399	9	32384603-32454769	"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Tricarboxylic acid cycle"	"Lyase, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 130.5"	"Cell type enhanced"	"Detected in all"		"Hepatocytes: 174.3;Proximal tubular cells: 144.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Smooth muscle cells, Skin - Sebaceous gland cells, Stomach - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019371, HPA024157"	Enhanced		Supported	Mitochondria,Cytosol			NA	NA		9300000	"Cluster 41: Basophils - Unknown function"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 44: Non-specific - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	7	"Mitochondria, Cytosol"		"HPA019371: AB_1844519, HPA024157: AB_1844520"	"unprognostic (1.00e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.25e-1)"	"unprognostic (8.58e-2)"	"unprognostic (5.20e-3)"	"unprognostic (5.40e-2)"	"unprognostic (1.66e-1)"	"unprognostic (7.24e-3)"	"unprognostic (2.62e-2)"	"unprognostic (1.34e-1)"	"potential prognostic favorable (1.17e-6)"	"unprognostic (7.98e-2)"	"unprognostic (1.26e-1)"	"unprognostic (1.06e-2)"	"potential prognostic favorable (4.08e-4)"	"unprognostic (3.01e-1)"	"unprognostic (3.43e-2)"	"unprognostic (2.01e-1)"	"unprognostic (2.05e-1)"	"unprognostic (5.86e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.11e-1)"	"unprognostic (2.67e-2)"	"unprognostic (2.28e-1)"	"unprognostic (2.15e-1)"	"unprognostic (9.95e-2)"	"unprognostic (2.92e-1)"	"unprognostic (2.84e-1)"	"unprognostic (5.56e-2)"	"unprognostic (3.71e-1)"	"unprognostic (1.66e-1)"
