EnsembleID	Symbol	n(Celltypes)	Name
ENSG00000187514	PTMA	3410	prothymosin alpha
ENSG00000137818	RPLP1	3408	ribosomal protein lateral stalk subunit P1
ENSG00000177600	RPLP2	3408	ribosomal protein lateral stalk subunit P2
ENSG00000143947	RPS27A	3405	ribosomal protein S27a
ENSG00000137154	RPS6	3400	ribosomal protein S6
ENSG00000111640	GAPDH	3400	glyceraldehyde-3-phosphate dehydrogenase
ENSG00000198034	RPS4X	3399	ribosomal protein S4 X-linked
ENSG00000149806	FAU	3399	FAU ubiquitin like and ribosomal protein S30 fusion
ENSG00000174748	RPL15	3398	ribosomal protein L15
ENSG00000142676	RPL11	3396	ribosomal protein L11
ENSG00000167526	RPL13	3396	ribosomal protein L13
ENSG00000233927	RPS28	3395	ribosomal protein S28
ENSG00000115268	RPS15	3395	ribosomal protein S15
ENSG00000100316	RPL3	3395	ribosomal protein L3
ENSG00000142937	RPS8	3394	ribosomal protein S8
ENSG00000089009	RPL6	3394	ribosomal protein L6
ENSG00000198755	RPL10A	3394	ribosomal protein L10a
ENSG00000089157	RPLP0	3393	ribosomal protein lateral stalk subunit P0
ENSG00000156508	EEF1A1	3393	eukaryotic translation elongation factor 1 alpha 1
ENSG00000171863	RPS7	3392	ribosomal protein S7
ENSG00000144713	RPL32	3392	ribosomal protein L32
ENSG00000186468	RPS23	3391	ribosomal protein S23
ENSG00000196262	PPIA	3391	peptidylprolyl isomerase A
ENSG00000108298	RPL19	3391	ribosomal protein L19
ENSG00000136942	RPL35	3390	ribosomal protein L35
ENSG00000172809	RPL38	3390	ribosomal protein L38
ENSG00000108107	RPL28	3390	ribosomal protein L28
ENSG00000198242	RPL23A	3390	ribosomal protein L23a
ENSG00000142541	RPL13A	3389	ribosomal protein L13a
ENSG00000075624	ACTB	3389	actin beta
ENSG00000161016	RPL8	3389	ribosomal protein L8
ENSG00000109475	RPL34	3389	ribosomal protein L34
ENSG00000130255	RPL36	3388	ribosomal protein L36
ENSG00000196531	NACA	3388	nascent polypeptide associated complex subunit alpha
ENSG00000197756	RPL37A	3388	ribosomal protein L37a
ENSG00000134419	RPS15A	3387	ribosomal protein S15a
ENSG00000105193	RPS16	3387	ribosomal protein S16
ENSG00000177954	RPS27	3387	ribosomal protein S27
ENSG00000172757	CFL1	3387	cofilin 1
ENSG00000171858	RPS21	3386	ribosomal protein S21
ENSG00000145592	RPL37	3386	ribosomal protein L37
ENSG00000182899	RPL35A	3386	ribosomal protein L35a
ENSG00000122026	RPL21	3386	ribosomal protein L21
ENSG00000122406	RPL5	3386	ribosomal protein L5
ENSG00000229117	RPL41	3385	ribosomal protein L41
ENSG00000149273	RPS3	3385	ribosomal protein S3
ENSG00000156482	RPL30	3384	ribosomal protein L30
ENSG00000164587	RPS14	3384	ribosomal protein S14
ENSG00000114391	RPL24	3384	ribosomal protein L24
ENSG00000142534	RPS11	3384	ribosomal protein S11
ENSG00000131469	RPL27	3383	ribosomal protein L27
ENSG00000110700	RPS13	3382	ribosomal protein S13
ENSG00000083845	RPS5	3382	ribosomal protein S5
ENSG00000140264	SERF2	3381	small EDRK-rich factor 2
ENSG00000138326	RPS24	3381	ribosomal protein S24
ENSG00000173812	EIF1	3380	eukaryotic translation initiation factor 1
ENSG00000105640	RPL18A	3380	ribosomal protein L18a
ENSG00000092841	MYL6	3379	myosin light chain 6
ENSG00000163682	RPL9	3378	ribosomal protein L9
ENSG00000127184	COX7C	3377	cytochrome c oxidase subunit 7C
ENSG00000112306	RPS12	3377	ribosomal protein S12
ENSG00000147604	RPL7	3376	ribosomal protein L7
ENSG00000168028	RPSA	3376	ribosomal protein SA
ENSG00000197958	RPL12	3376	ribosomal protein L12
ENSG00000213741	RPS29	3376	ribosomal protein S29
ENSG00000070756	PABPC1	3375	poly(A) binding protein cytoplasmic 1
ENSG00000063177	RPL18	3375	ribosomal protein L18
ENSG00000181163	NPM1	3374	nucleophosmin 1
ENSG00000205542	TMSB4X	3374	thymosin beta 4 X-linked
ENSG00000188846	RPL14	3373	ribosomal protein L14
ENSG00000131143	COX4I1	3373	cytochrome c oxidase subunit 4I1
ENSG00000221983	UBA52	3372	ubiquitin A-52 residue ribosomal protein fusion product 1
ENSG00000071082	RPL31	3371	ribosomal protein L31
ENSG00000096384	HSP90AB1	3370	heat shock protein 90 alpha family class B member 1
ENSG00000197728	RPS26	3370	ribosomal protein S26
ENSG00000166441	RPL27A	3369	ribosomal protein L27a
ENSG00000162244	RPL29	3369	ribosomal protein L29
ENSG00000167996	FTH1	3367	ferritin heavy chain 1
ENSG00000125691	RPL23	3364	ribosomal protein L23
ENSG00000133112	TPT1	3364	tumor protein, translationally-controlled 1
ENSG00000008988	RPS20	3363	ribosomal protein S20
ENSG00000170315	UBB	3363	ubiquitin B
ENSG00000145741	BTF3	3362	basic transcription factor 3
ENSG00000087086	FTL	3362	ferritin light chain
ENSG00000108518	PFN1	3361	profilin 1
ENSG00000140319	SRP14	3361	signal recognition particle 14
