Gene1	Gene2	Protein1	Protein2
A1BG	RPS6KA4	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)
A2M	EPAS1	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)
A4GALT	OAF	Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)	Out at first protein homolog (HCV NS5A-transactivated protein 13 target protein 2)
AAMP	OTUB1	Angio-associated migratory cell protein	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1)
ABCA10	ABCA9	ATP-binding cassette sub-family A member 10 (EC 7.6.2.-)	ATP-binding cassette sub-family A member 9 (EC 7.6.2.-)
ABCB11	ABLIM3	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3)
ABCC10	IFFO1	ATP-binding cassette sub-family C member 10 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 7)	Non-homologous end joining factor IFFO1 (NHEJ factor IFFO1) (Intermediate filament family orphan 1) (Tumor antigen HOM-TES-103)
ABCC11	SLC5A10	ATP-binding cassette sub-family C member 11 (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 8)	Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)
ABCC8	KCNJ11	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	ATP-sensitive inward rectifier potassium channel 11 (IKATP) (Inward rectifier K(+) channel Kir6.2) (Potassium channel, inwardly rectifying subfamily J member 11)
ABCF1	EIF5B	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)
